Ind_ID,CHILDREN,Annual_income,EDUCATION,Housing_type,Age,Employment_Year,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label,GENDER_M,Marital_status_Married,Marital_status_Separated,Marital_status_Single / not married,Marital_status_Widow,Car_Owner_Y,Propert_Owner_Y,Type_Income_Pensioner,Type_Income_State servant,Type_Income_Working
5008827,0,180000,3,5,51,38.0,1,0,0,0,0.0,2,1,1,1,0,0,0,1,1,1,0,0
5009744,0,315000,3,5,37,2.0,1,1,1,0,1.0,2,1,0,1,0,0,0,1,0,0,0,0
5009746,0,315000,3,5,37,2.0,1,1,1,0,1.0,2,1,0,1,0,0,0,1,0,0,0,0
5009749,0,315000,3,5,37,2.0,1,1,1,0,1.0,2,1,0,1,0,0,0,1,0,0,0,0
5009752,0,315000,3,5,37,2.0,1,1,1,0,1.0,2,1,0,1,0,0,0,1,0,0,0,0
5009753,0,315000,3,5,37,2.0,1,1,1,0,0.0,2,1,0,1,0,0,0,1,0,1,0,0
5009754,0,315000,3,5,37,2.0,1,1,1,0,1.0,2,1,0,1,0,0,0,1,0,0,0,0
5009894,0,180000,1,5,61,38.0,1,0,0,0,0.0,2,1,0,1,0,0,0,0,0,1,0,0
5010864,1,450000,1,5,50,2.0,1,0,1,1,2.0,3,1,1,1,0,0,0,1,1,0,0,0
5010868,1,450000,1,5,50,2.0,1,0,1,1,2.0,3,1,1,1,0,0,0,1,1,1,0,0
5010869,1,450000,1,5,50,2.0,1,0,1,1,2.0,1,1,1,0,0,1,0,1,1,0,0,0
5018498,0,90000,1,5,52,3.0,1,1,1,0,3.0,2,1,0,1,0,0,0,1,1,0,0,1
5018501,0,102000,1,5,52,3.0,1,1,1,0,3.0,2,1,0,1,0,0,0,1,1,0,0,1
5018503,0,90000,1,5,52,3.0,1,1,1,0,3.0,2,1,0,1,0,0,0,1,1,0,0,1
5021303,1,472500,3,0,24,3.0,1,0,0,1,0.0,3,1,1,1,0,0,0,0,0,1,0,0
5021310,0,270000,1,5,46,1.0,1,0,0,0,4.0,2,1,1,1,0,0,0,0,1,0,0,1
5021314,0,270000,1,5,46,1.0,1,0,0,0,4.0,2,1,1,0,0,1,0,0,1,0,0,1
5021430,0,126000,3,5,52,7.0,1,0,0,0,5.0,1,1,0,0,0,1,0,0,1,0,0,0
5021431,0,126000,3,5,52,7.0,1,0,0,0,5.0,1,1,0,0,0,1,0,0,1,0,0,0
5021998,0,90000,1,5,52,5.0,1,0,0,1,0.0,2,1,1,1,0,0,0,0,1,1,0,0
5022053,0,202500,3,5,35,12.0,1,0,0,0,1.0,1,1,1,0,0,1,0,0,0,0,0,1
5022617,0,202500,1,5,33,5.0,1,0,0,1,4.0,2,1,1,0,0,0,0,1,1,0,0,0
5023781,0,157500,3,5,49,3.0,1,0,0,0,6.0,2,1,1,0,0,0,0,0,1,0,0,0
5023831,2,112500,1,5,33,3.0,1,0,0,0,5.0,4,1,0,1,0,0,0,0,1,0,0,0
5024071,0,180000,3,5,44,2.0,1,0,0,0,4.0,2,1,0,1,0,0,0,0,1,0,0,1
5024213,0,540000,3,5,43,1.0,1,0,1,0,1.0,2,1,0,1,0,0,0,1,1,0,0,0
5024916,0,112500,1,5,60,38.0,1,0,1,0,0.0,2,1,0,1,0,0,0,0,1,1,0,0
5024917,0,105000,1,5,60,38.0,1,0,1,0,0.0,2,1,0,1,0,0,0,0,1,1,0,0
5025127,0,292500,1,5,30,9.0,1,0,0,0,7.0,2,1,0,1,0,0,0,0,1,0,0,1
5028580,0,540000,3,5,55,2.0,1,0,0,0,8.0,2,1,1,1,0,0,0,0,0,0,0,0
5029028,0,90000,0,1,33,13.0,1,0,0,0,9.0,2,1,0,0,0,1,0,0,1,0,0,1
5029311,0,112500,1,5,60,38.0,1,0,1,1,0.0,2,1,0,1,0,0,0,0,1,1,0,0
5033453,0,135000,3,5,29,7.0,1,0,0,0,4.0,1,1,0,0,0,1,0,0,0,0,0,1
5033514,1,135000,1,5,44,1.0,1,1,0,0,5.0,3,1,0,1,0,0,0,1,0,0,0,1
5033916,0,180000,1,5,36,10.0,1,0,0,0,1.0,2,1,1,1,0,0,0,0,1,0,0,1
5036469,0,112500,1,5,56,4.0,1,0,0,0,10.0,2,1,1,0,0,1,0,1,0,0,1,0
5036590,0,292500,3,5,58,2.0,1,0,0,0,10.0,2,1,1,1,0,0,0,1,1,0,0,1
5036660,0,76500,1,5,65,38.0,1,0,0,0,0.0,2,1,0,1,0,0,0,1,1,1,0,0
5036795,0,215100,1,5,53,4.0,1,0,1,0,4.0,2,1,1,1,0,0,0,1,1,0,0,0
5041522,0,450000,3,5,44,2.0,1,1,1,0,1.0,1,1,1,0,1,0,0,1,1,0,0,0
5042064,2,270000,3,5,44,20.0,1,1,1,0,1.0,4,1,0,1,0,0,0,1,0,0,1,0
5045888,0,225000,1,5,64,38.0,1,0,0,0,0.0,1,1,0,0,0,1,0,0,1,1,0,0
5045894,0,225000,1,5,64,38.0,1,0,0,0,0.0,1,1,0,0,0,1,0,0,1,1,0,0
5045895,0,225000,1,5,64,38.0,1,0,0,0,0.0,1,1,0,0,0,1,0,0,1,1,0,0
5046324,1,157500,1,5,42,6.0,1,0,1,0,11.0,3,1,0,0,0,1,0,0,1,0,0,0
5046328,1,157500,1,5,42,6.0,1,0,1,0,11.0,3,1,0,0,0,1,0,0,1,1,0,0
5047662,1,67500,1,5,52,11.0,1,0,0,0,6.0,3,1,0,1,0,0,0,0,1,0,0,0
5048300,1,180000,1,5,30,3.0,1,0,0,0,4.0,3,1,1,1,0,0,0,1,0,0,0,0
5048301,1,180000,1,5,30,3.0,1,0,0,0,4.0,3,1,1,1,0,0,0,1,0,0,0,0
5050603,0,157500,1,5,50,20.0,1,1,0,0,4.0,2,1,1,1,0,0,0,0,0,0,0,1
5050606,0,157500,1,5,50,20.0,1,1,0,0,4.0,2,1,1,1,0,0,0,0,0,0,0,1
5050671,0,171000,2,5,32,0.0,1,1,1,0,7.0,1,1,1,0,0,1,0,0,0,0,0,0
5051160,1,135000,1,5,26,2.0,1,0,0,0,4.0,3,1,1,1,0,0,0,1,0,0,0,1
5051161,1,135000,1,5,26,2.0,1,0,0,0,4.0,3,1,1,1,0,0,0,1,0,0,0,1
5052659,0,103500,1,5,28,2.0,1,0,0,1,12.0,2,1,0,1,0,0,0,0,1,0,0,1
5052661,0,103500,1,5,28,2.0,1,0,0,1,12.0,2,1,0,1,0,0,0,0,1,0,0,1
